age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,age_group,Years_as_customer,vehicle_age,adjusted_csl,adjusted_deductible,adjusted_annual_premium,adjusted_additional_services,loss_amount,weekday,month,policy_bind_year
48.0,521585,2014-10-17,OH,250/500,1000.0,1406.91,0,466132,Male,MD,Craft-Repair,Sleeping,Husband,53300.0,0,2015-01-25,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,9935 4th Drive,5,1,Yes,1,2,Yes,71610.0,6510.0,13020.0,52080.0,Saab,92x,2004,Y,Adult,27,20,500/1000,1500,1406.91,[],70203.09,Sunday,January,2014
42.0,342868,2006-06-27,IN,250/500,2000.0,1197.22,5000000,468176,Male,MD,Machine-Op-Inspct,Reading,Other-Relative,0.0,0,2015-01-21,Vehicle Theft,Unknown,Minor Damage,Police,VA,Riverwood,6608 MLK Hwy,8,1,Unknown,0,0,Unknown,5070.0,780.0,780.0,3510.0,Mercedes,E400,2007,Y,Adult,19,17,500/1000,1500,1197.22,[],3872.7799999999997,Wednesday,January,2006
29.0,687698,2000-09-06,OH,100/300,2000.0,1413.14,5000000,430632,Female,PhD,Sales,Board-Games,Own-Child,35100.0,0,2015-02-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,7121 Francis Lane,7,3,No,2,3,No,34650.0,7700.0,3850.0,23100.0,Dodge,RAM,2007,N,Young Adult,11,17,250/500,1000,1695.768,['roadside assistance'],33236.86,Sunday,February,2000
41.0,227811,1990-05-25,IL,250/500,2000.0,1415.74,6000000,608117,Female,PhD,Armed-Forces,,Unmarried,48900.0,-62400,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,Police,OH,Arlington,6956 Maple Drive,5,1,Unknown,1,2,No,63400.0,6340.0,6340.0,50720.0,Chevrolet,Tahoe,2014,Y,Adult,21,10,500/1000,1500,1415.74,[],61984.26,Saturday,January,1990
44.0,367455,2014-06-06,IL,500/1000,1000.0,1583.91,6000000,610706,Male,Associate,Sales,,Unmarried,66000.0,-46000,2015-02-17,Vehicle Theft,Unknown,Minor Damage,None,NY,Arlington,3041 3rd Ave,20,1,No,0,1,No,6500.0,1300.0,650.0,4550.0,Accura,RSX,2009,N,Adult,19,15,500/1000,1500,1583.91,[],4916.09,Tuesday,February,2014
39.0,104594,2006-10-12,OH,250/500,1000.0,1351.1,0,478456,Female,PhD,Tech-Support,Bungie-Jumping,Unmarried,0.0,0,2015-01-02,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Arlington,8973 Washington St,19,3,No,0,2,No,64100.0,6410.0,6410.0,51280.0,Saab,95,2003,Y,Adult,21,21,500/1000,1500,1351.1,[],62748.9,Friday,January,2006
34.0,413978,2000-06-04,IN,250/500,1000.0,1333.35,0,441716,Male,JD,Prof-Specialty,Board-Games,Husband,0.0,-77000,2015-01-13,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,5846 Weaver Drive,0,3,Unknown,0,0,Unknown,78650.0,21450.0,7150.0,50050.0,Nissan,Pathfinder,2012,N,Adult,11,12,500/1000,1500,1333.35,[],77316.65,Tuesday,January,2000
37.0,429027,1990-02-03,IL,100/300,1000.0,1137.03,0,603195,Male,Associate,Tech-Support,Base-Jumping,Unmarried,0.0,0,2015-02-27,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,Columbus,3525 3rd Hwy,23,3,Unknown,2,2,Yes,51590.0,9380.0,9380.0,32830.0,Audi,A5,2015,N,Adult,13,9,500/1000,1500,1137.03,[],50452.97,Friday,February,1990
33.0,485665,1997-02-05,IL,100/300,500.0,1442.99,0,601734,Female,PhD,Other-Service,Golf,Own-Child,0.0,0,2015-01-30,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Arlington,4872 Rock Ridge,21,1,No,1,1,Yes,27700.0,2770.0,2770.0,22160.0,Toyota,Camry,2012,N,Adult,2,12,500/1000,1500,1442.99,[],26257.01,Friday,January,1997
42.0,636550,2011-07-25,IL,100/300,500.0,1315.68,0,600983,Male,PhD,Priv-House-Serv,Camping,Wife,0.0,-39300,2015-01-05,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Hillsdale,3066 Francis Ave,14,1,No,2,1,Unknown,42300.0,4700.0,4700.0,32900.0,Saab,92x,1996,N,Adult,17,28,500/1000,1500,1315.68,[],40984.32,Monday,January,2011
42.0,543610,2002-05-26,OH,100/300,500.0,1253.12,4000000,462283,Female,Masters,Exec-Managerial,Dancing,Other-Relative,38400.0,0,2015-01-06,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,Northbend,1558 1st Ridge,22,1,Yes,2,2,Unknown,87010.0,7910.0,15820.0,63280.0,Ford,F150,2002,N,Adult,19,22,500/1000,1500,1253.12,[],85756.88,Tuesday,January,2002
61.0,214618,1999-05-29,OH,100/300,2000.0,1257.0011133400199,0,615561,Female,High School,Exec-Managerial,Skydiving,Other-Relative,0.0,-51000,2015-02-15,Multi-vehicle Collision,Front Collision,Major Damage,Fire,NY,Springfield,5971 5th Hwy,21,3,Yes,1,2,Yes,114920.0,17680.0,17680.0,79560.0,Audi,A3,2006,N,Senior,37,18,750/1500,2000,1005.6008906720159,['rental car coverage'],113662.99888665997,Sunday,February,1999
23.0,842643,1997-11-20,OH,500/1000,500.0,1215.36,3000000,432220,Male,MD,Protective-Serv,Reading,Wife,0.0,0,2015-01-22,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,6655 5th Drive,9,1,Yes,1,0,No,56520.0,4710.0,9420.0,42390.0,Saab,95,2000,N,Young Adult,5,24,250/500,1000,1458.4319999999998,['roadside assistance'],55304.64,Thursday,January,1997
34.0,626808,2012-10-26,OH,100/300,1000.0,936.61,0,464652,Female,MD,Armed-Forces,Bungie-Jumping,Wife,52800.0,-32800,2015-01-08,Parked Car,Unknown,Minor Damage,None,SC,Springfield,6582 Elm Lane,5,1,No,1,1,No,7280.0,1120.0,1120.0,5040.0,Toyota,Highlander,2010,N,Adult,10,14,500/1000,1500,936.61,[],6343.39,Thursday,January,2012
38.0,644081,1998-12-28,OH,250/500,2000.0,1301.13,0,476685,Female,College,Machine-Op-Inspct,Board-Games,Not-In-Family,41300.0,-55500,2015-01-15,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Springfield,6851 3rd Drive,12,1,No,0,2,Yes,46200.0,4200.0,8400.0,33600.0,Dodge,Neon,2003,Y,Adult,15,21,500/1000,1500,1301.13,[],44898.87,Thursday,January,1998
58.0,892874,1992-10-19,IN,100/300,2000.0,1131.4,0,458733,Female,MD,Transport-Moving,Movies,Other-Relative,55700.0,0,2015-01-29,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Hillsdale,9573 Weaver Ave,12,4,Yes,0,0,No,63120.0,10520.0,10520.0,42080.0,Accura,MDX,1999,Y,Senior,39,25,750/1500,2000,905.1200000000001,['rental car coverage'],61988.6,Thursday,January,1992
26.0,558938,2005-06-08,OH,500/1000,1000.0,1199.44,5000000,619884,Male,College,Machine-Op-Inspct,Hiking,Own-Child,63600.0,0,2015-02-22,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Riverwood,5074 3rd St,0,3,Unknown,1,2,Yes,52110.0,5790.0,5790.0,40530.0,Nissan,Maxima,2012,N,Young Adult,5,12,250/500,1000,1439.328,['roadside assistance'],50910.56,Sunday,February,2005
31.0,275265,2004-11-15,IN,500/1000,500.0,708.64,6000000,470610,Male,High School,Machine-Op-Inspct,Reading,Unmarried,53500.0,0,2015-01-06,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,4546 Tree St,9,1,No,0,2,Yes,77880.0,14160.0,7080.0,56640.0,Suburu,Legacy,2015,N,Adult,11,9,500/1000,1500,708.64,[],77171.36,Tuesday,January,2004
37.0,921202,2014-12-28,OH,500/1000,500.0,1374.22,0,472135,Female,MD,Craft-Repair,Yachting,Other-Relative,45500.0,-37800,2015-01-19,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,3842 Solo Ridge,19,1,Yes,1,0,No,72930.0,6630.0,13260.0,53040.0,Accura,TL,2015,N,Adult,13,9,500/1000,1500,1374.22,[],71555.78,Monday,January,2014
39.0,143972,1992-08-02,IN,500/1000,2000.0,1475.73,0,477670,Female,High School,Handlers-Cleaners,Camping,Own-Child,57000.0,-27300,2015-02-22,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Columbus,8101 3rd Ridge,8,3,Unknown,2,0,No,60400.0,6040.0,6040.0,48320.0,Nissan,Pathfinder,2014,N,Adult,16,10,500/1000,1500,1475.73,[],58924.27,Sunday,February,1992
62.0,183430,2002-06-25,IN,250/500,1000.0,1187.96,4000000,618845,Male,JD,Other-Service,Bungie-Jumping,Own-Child,0.0,0,2015-01-01,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,5380 Pine St,20,3,No,1,0,Unknown,47160.0,0.0,5240.0,41920.0,Suburu,Impreza,2011,N,Senior,38,13,750/1500,2000,950.368,['rental car coverage'],45972.04,Thursday,January,2002
41.0,431876,2005-11-27,IL,500/1000,2000.0,875.15,0,442479,Female,Associate,Machine-Op-Inspct,Skydiving,Own-Child,46700.0,0,2015-02-10,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Arlington,8957 Weaver Drive,15,3,Unknown,1,2,Unknown,37840.0,0.0,4730.0,33110.0,Accura,RSX,1996,N,Adult,18,28,500/1000,1500,875.15,[],36964.85,Tuesday,February,2005
55.0,285496,1994-05-27,IL,100/300,2000.0,1257.0011133400199,0,443920,Male,High School,Prof-Specialty,Paintball,Other-Relative,72700.0,-68200,2015-01-11,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Hillsdale,2526 Embaracadero Ave,20,3,No,0,0,Yes,71520.0,17880.0,5960.0,47680.0,Suburu,Forrestor,2000,Y,Senior,30,24,750/1500,2000,1005.6008906720159,['rental car coverage'],70262.99888665997,Sunday,January,1994
55.0,115399,1991-02-08,IN,100/300,2000.0,1268.79,0,453148,Male,MD,Priv-House-Serv,Chess,Own-Child,0.0,-31000,2015-01-19,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Northbend,5667 4th Drive,15,1,Unknown,2,2,Unknown,98160.0,8180.0,16360.0,73620.0,Dodge,RAM,2011,Y,Senior,34,13,750/1500,2000,1015.032,['rental car coverage'],96891.21,Monday,January,1991
40.0,736882,1996-02-02,IN,100/300,1000.0,883.31,0,434733,Male,College,Craft-Repair,Kayaking,Husband,0.0,-53500,2015-02-24,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,Riverwood,2502 Apache Hwy,6,1,No,1,3,No,77880.0,7080.0,14160.0,56640.0,Ford,Escape,2005,N,Adult,19,19,500/1000,1500,883.31,[],76996.69,Tuesday,February,1996
35.0,699044,2013-12-05,OH,100/300,2000.0,1266.92,0,613982,Male,Masters,Sales,Polo,Own-Child,0.0,0,2015-01-09,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,3418 Texas Lane,16,3,No,1,3,Yes,71500.0,16500.0,11000.0,44000.0,Ford,Escape,2006,Y,Adult,0,18,500/1000,1500,1266.92,[],70233.08,Friday,January,2013
43.0,863236,1990-09-20,IN,100/300,2000.0,1322.1,0,436984,Male,High School,Prof-Specialty,Golf,Own-Child,0.0,-29200,2015-01-28,Parked Car,Unknown,Minor Damage,Police,PA,Arlington,2533 Elm St,4,1,Yes,1,3,Yes,9020.0,1640.0,820.0,6560.0,Toyota,Camry,2005,N,Adult,21,19,500/1000,1500,1322.1,[],7697.9,Wednesday,January,1990
34.0,608513,2002-07-18,IN,100/300,500.0,848.07,3000000,607730,Male,JD,Exec-Managerial,Chess,Not-In-Family,31000.0,-30200,2015-01-07,Vehicle Theft,Unknown,Minor Damage,None,VA,Northbrook,3790 Andromedia Hwy,5,1,Yes,2,1,Unknown,5720.0,1040.0,520.0,4160.0,Suburu,Forrestor,2003,Y,Adult,16,21,500/1000,1500,848.07,[],4871.93,Wednesday,January,2002
40.0,914088,1990-02-08,OH,100/300,2000.0,1291.7,0,609837,Female,JD,Sales,Kayaking,Not-In-Family,0.0,-55600,2015-01-08,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,3220 Rock Drive,21,1,No,1,0,Yes,69840.0,7760.0,15520.0,46560.0,Dodge,Neon,2009,N,Adult,18,15,500/1000,1500,1291.7,[],68548.3,Thursday,January,1990
45.0,596785,2014-03-04,IL,500/1000,2000.0,1104.5,0,432211,Female,PhD,Machine-Op-Inspct,Basketball,Unmarried,0.0,0,2015-02-15,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbrook,2100 Francis Drive,5,1,No,2,2,No,91650.0,14100.0,14100.0,63450.0,Accura,TL,2011,N,Adult,20,13,500/1000,1500,1104.5,[],90545.5,Sunday,February,2014
25.0,908616,2000-02-18,IL,250/500,1000.0,954.16,0,473328,Male,Masters,Prof-Specialty,Video-Games,Husband,53200.0,0,2015-01-18,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,4687 5th Drive,22,4,No,0,0,Unknown,75600.0,12600.0,12600.0,50400.0,Toyota,Corolla,2005,N,Young Adult,5,19,250/500,1000,1144.992,['roadside assistance'],74645.84,Sunday,January,2000
37.0,666333,2008-06-19,IL,100/300,2000.0,1337.28,8000000,610393,Male,JD,Craft-Repair,Reading,Husband,27500.0,0,2015-02-28,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,9038 2nd Lane,10,3,No,2,2,Unknown,67140.0,7460.0,7460.0,52220.0,Ford,F150,2006,Y,Adult,13,18,500/1000,1500,1337.28,[],65802.72,Saturday,February,2008
35.0,336614,2003-08-01,IL,500/1000,1000.0,1088.34,0,614780,Female,Associate,Adm-Clerical,Yachting,Other-Relative,81100.0,0,2015-02-24,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,6092 5th Ave,16,3,Yes,2,3,No,29790.0,3310.0,3310.0,23170.0,BMW,3 Series,2008,N,Adult,12,16,500/1000,1500,1088.34,[],28701.66,Tuesday,February,2003
30.0,584859,1992-04-04,IL,100/300,1000.0,1558.29,0,472248,Male,High School,Farming-Fishing,Video-Games,Wife,51400.0,-64000,2015-01-09,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Hillsdale,8353 Britain Ridge,1,3,No,1,2,Unknown,77110.0,14020.0,14020.0,49070.0,Suburu,Impreza,2015,N,Adult,9,9,500/1000,1500,1558.29,[],75551.71,Friday,January,1992
37.0,990493,1991-01-13,IL,500/1000,500.0,1415.68,0,603381,Male,PhD,Prof-Specialty,Yachting,Own-Child,0.0,0,2015-02-12,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,3540 Maple St,17,1,Yes,0,1,Yes,64800.0,10800.0,5400.0,48600.0,Audi,A3,1999,N,Adult,12,25,500/1000,1500,1415.68,[],63384.32,Thursday,February,1991
33.0,129872,2010-08-08,OH,100/300,1000.0,1334.15,6000000,479224,Male,High School,Craft-Repair,Reading,Not-In-Family,53300.0,-49200,2015-01-24,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,3104 Sky Drive,15,1,Yes,2,0,Yes,53100.0,10620.0,5310.0,37170.0,Mercedes,C300,1995,Y,Adult,12,29,500/1000,1500,1334.15,[],51765.85,Saturday,January,2010
28.0,200152,2003-03-09,IL,100/300,1000.0,988.45,0,430141,Female,Masters,Protective-Serv,Camping,Unmarried,0.0,0,2015-01-09,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbrook,4981 Weaver St,3,1,Unknown,1,1,Yes,60200.0,6020.0,6020.0,48160.0,Suburu,Forrestor,2004,Y,Young Adult,5,20,250/500,1000,1186.14,['roadside assistance'],59211.55,Friday,January,2003
